"id","cod_operacion","medio_pago","suma_prod","cant_prods","valor_compra","pagado","cambio","procesada","created_at","updated_at"
59,"23",1,2,"[""1"", ""1""]","$1.500,00","2.000","$500,00",1,"2022-07-13 19:52:17.0","2022-07-13 19:52:17.0"
60,"24",1,1,"[""1""]","$1.500,00","2.000","$500,00",1,"2022-07-13 19:52:41.0","2022-07-13 19:52:41.0"
61,"006882",2,1,"[""1""]","$1.500,00","0","0",1,"2022-07-13 20:40:43.0","2022-07-13 20:40:43.0"
62,"25",1,1,"[""1""]","$1.200,00","1.200","$0,00",1,"2022-07-14 12:47:52.0","2022-07-14 12:47:52.0"
63,"26",1,2,"[""1"", ""1""]","$1.500,00","10.000","$8.500,00",1,"2022-07-14 13:36:57.0","2022-07-14 13:36:57.0"
64,"27",1,2,"[""1"", ""1""]","$1.500,00","10.000","$8.500,00",1,"2022-07-14 13:46:39.0","2022-07-14 13:46:39.0"
65,"28",1,2,"[""1"", ""1""]","$600,00","600","$0,00",1,"2022-07-14 14:03:20.0","2022-07-14 14:03:20.0"
66,"729810",2,2,"[""1"", ""1""]","$1.200,00","0","0",1,"2022-07-14 14:08:47.0","2022-07-14 14:08:47.0"
67,"29",1,2,"[""1"", ""1""]","$3.400,00","3.400","$0,00",1,"2022-07-14 14:09:48.0","2022-07-14 14:09:48.0"
68,"256882",2,2,"[""1"", ""1""]","$1.200,00","0","0",1,"2022-07-14 15:13:45.0","2022-07-14 15:13:45.0"
69,"256882",2,2,"[""1"", ""1""]","$1.000,00","0","0",1,"2022-07-14 16:54:04.0","2022-07-14 16:54:04.0"
70,"202286",2,2,"[""1"", ""1""]","$1.500,00","0","0",1,"2022-07-14 17:06:32.0","2022-07-14 17:06:32.0"
71,"202286",2,3,"[""1"", ""1"", ""1""]","$2.500,00","0","0",1,"2022-07-14 17:13:29.0","2022-07-14 17:13:29.0"
72,"202286",2,2,"[""1"", ""1""]","$950,00","0","0",1,"2022-07-14 18:47:34.0","2022-07-14 18:47:34.0"
73,"30",1,3,"[""1"", ""1"", ""1""]","$4.000,00","10.000","$6.000,00",1,"2022-07-14 19:02:09.0","2022-07-14 19:02:09.0"
74,"31",1,4,"[""1"", ""1"", ""1"", ""1""]","$6.200,00","10.000","$3.800,00",1,"2022-07-14 19:04:46.0","2022-07-14 19:04:46.0"
75,"419585",2,2,"[""1"", ""1""]","$1.650,00","0","0",1,"2022-07-15 13:12:04.0","2022-07-15 13:12:04.0"
76,"000807",2,2,"[""1"", ""1""]","$1.800,00","0","0",1,"2022-07-15 13:12:46.0","2022-07-15 13:12:46.0"
